classifier,dataset,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
InceptionTime,Earthquakes,84,90,1.0,0.6282973621103117,0.37170263788968827,0.7619047619047619,0.23809523809523814
InceptionTime,Earthquakes,90,90,1.0,0.6589595375722543,0.34104046242774566,0.7425149700598802,0.2574850299401198
InceptionTime,Earthquakes,96,90,1.0,0.6299435028248588,0.3700564971751412,0.7586206896551724,0.24137931034482762
InceptionTime,OSULeaf,100,90,1.0,0.5936842105263158,0.4063157894736842,0.5189873417721519,0.4810126582278481
InceptionTime,OSULeaf,105,90,1.0,0.55625,0.44375,0.5502183406113537,0.44978165938864634
InceptionTime,OSULeaf,10,90,1.0,0.9021951749619648,0.09780482503803523,0.6820038701354547,0.3179961298645453
InceptionTime,OSULeaf,15,90,1.0,0.906888958792073,0.09311104120792701,0.7162661737523105,0.2837338262476895
InceptionTime,OSULeaf,20,90,1.0,0.9089000839630562,0.09109991603694378,0.7226720647773279,0.2773279352226721
InceptionTime,OSULeaf,25,90,1.0,0.9005,0.09950000000000003,0.7089058524173028,0.29109414758269725
InceptionTime,OSULeaf,30,90,1.0,0.8830694275274056,0.11693057247259442,0.6914765906362546,0.30852340936374545
InceptionTime,OSULeaf,35,90,1.0,0.8690303907380608,0.13096960926193923,0.6912798874824191,0.3087201125175809
InceptionTime,OSULeaf,40,90,1.0,0.8701842546063652,0.12981574539363483,0.6527545909849749,0.3472454090150251
InceptionTime,OSULeaf,45,90,1.0,0.8710280373831776,0.12897196261682242,0.6421343146274149,0.3578656853725851
InceptionTime,OSULeaf,50,90,1.0,0.870899470899471,0.12910052910052905,0.6156316916488223,0.38436830835117775
InceptionTime,OSULeaf,55,90,1.0,0.8646706586826347,0.1353293413173653,0.6165501165501166,0.3834498834498834
InceptionTime,OSULeaf,5,90,1.0,0.9118163719405082,0.08818362805949176,0.661144578313253,0.338855421686747
InceptionTime,OSULeaf,60,90,1.0,0.8529062870699882,0.14709371293001183,0.6402966625463535,0.35970333745364647
InceptionTime,OSULeaf,65,90,1.0,0.8440860215053764,0.15591397849462363,0.5977337110481586,0.40226628895184136
InceptionTime,OSULeaf,70,90,1.0,0.7866847826086957,0.21331521739130432,0.6444444444444445,0.3555555555555555
InceptionTime,OSULeaf,75,90,1.0,0.7953736654804271,0.2046263345195729,0.5818476499189628,0.41815235008103724
InceptionTime,OSULeaf,80,90,1.0,0.7722772277227723,0.2277227722772277,0.5635792778649922,0.4364207221350078
InceptionTime,OSULeaf,85,90,1.0,0.71900826446281,0.28099173553719003,0.5739130434782609,0.4260869565217391
InceptionTime,OSULeaf,90,90,1.0,0.6673346693386774,0.33266533066132264,0.5254237288135594,0.47457627118644063
InceptionTime,OSULeaf,95,90,1.0,0.648936170212766,0.35106382978723405,0.4968553459119497,0.5031446540880503
