classifier,dataset,perturbation,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inverse_tp,change_inverse_tp
MLP,OSULeaf,zero,105,75,0.9449999928474426,0.49698535745047373,0.4480146353969689,0.3049095607235142,0.6400904321239285
MLP,OSULeaf,zero,105,70,0.9449999928474426,0.5029736618521665,0.4420263309952761,0.30671197960917584,0.6382880132382668
MLP,OSULeaf,zero,105,65,0.9449999928474426,0.5075757575757576,0.43742423527168506,0.30723905723905726,0.6377609356083853
MLP,OSULeaf,zero,105,60,0.9449999928474426,0.509639564124057,0.43536042872338565,0.3076278290025147,0.6373721638449279
MLP,OSULeaf,zero,105,55,0.9449999928474426,0.5125,0.43249999284744267,0.30833333333333335,0.6366666595141093
MLP,OSULeaf,zero,105,50,0.9449999928474426,0.5125,0.43249999284744267,0.30833333333333335,0.6366666595141093
MLP,OSULeaf,mean,10,95,0.9449999928474426,0.05641925777331996,0.8885807350741227,0.09052156469408225,0.8544784281533604
MLP,OSULeaf,mean,10,90,0.9449999928474426,0.14225521669341895,0.8027447761540236,0.1637239165329053,0.7812760763145373
MLP,OSULeaf,mean,10,85,0.9449999928474426,0.2634426783902604,0.6815573144571823,0.2566790666215759,0.6883209262258667
MLP,OSULeaf,mean,10,80,0.9449999928474426,0.37886781691145016,0.5661321759359925,0.3584771139312705,0.586522878916172
MLP,OSULeaf,mean,10,75,0.9449999928474426,0.4569255703777584,0.48807442246968424,0.4352325146490463,0.5097674781983963
MLP,OSULeaf,mean,10,70,0.9449999928474426,0.504211245162759,0.4407887476846837,0.48258593216480766,0.46241406068263496
MLP,OSULeaf,mean,10,65,0.9449999928474426,0.5287244401168452,0.41627555273059746,0.5079519636481662,0.43704802919927643
MLP,OSULeaf,mean,10,60,0.9449999928474426,0.5365464411107564,0.4084535517366862,0.5159059474412172,0.4290940454062254
MLP,OSULeaf,mean,10,55,0.9449999928474426,0.5400696864111498,0.4049303064362928,0.5193749340090803,0.4256250588383623
MLP,OSULeaf,mean,10,50,0.9449999928474426,0.5414254132013896,0.40357457964605303,0.52079166228024,0.42420833056720264
MLP,OSULeaf,zero,10,95,0.9449999928474426,0.05641925777331996,0.8885807350741227,0.09052156469408225,0.8544784281533604
MLP,OSULeaf,zero,10,90,0.9449999928474426,0.14225521669341895,0.8027447761540236,0.1637239165329053,0.7812760763145373
MLP,OSULeaf,zero,10,85,0.9449999928474426,0.2634426783902604,0.6815573144571823,0.2566790666215759,0.6883209262258667
MLP,OSULeaf,zero,10,80,0.9449999928474426,0.37886781691145016,0.5661321759359925,0.3584771139312705,0.586522878916172
MLP,OSULeaf,zero,10,75,0.9449999928474426,0.4569255703777584,0.48807442246968424,0.4352325146490463,0.5097674781983963
MLP,OSULeaf,zero,10,70,0.9449999928474426,0.504211245162759,0.4407887476846837,0.48258593216480766,0.46241406068263496
MLP,OSULeaf,zero,10,65,0.9449999928474426,0.5287244401168452,0.41627555273059746,0.5079519636481662,0.43704802919927643
MLP,OSULeaf,zero,10,60,0.9449999928474426,0.5365464411107564,0.4084535517366862,0.5159059474412172,0.4290940454062254
MLP,OSULeaf,zero,10,55,0.9449999928474426,0.5400696864111498,0.4049303064362928,0.5193749340090803,0.4256250588383623
MLP,OSULeaf,zero,10,50,0.9449999928474426,0.5414254132013896,0.40357457964605303,0.52079166228024,0.42420833056720264
MLP,OSULeaf,mean,15,95,0.9449999928474426,0.08078457446808511,0.8642154183793576,0.1293218085106383,0.8156781843368044
MLP,OSULeaf,mean,15,90,0.9449999928474426,0.20433194154488518,0.7406680513025574,0.212160751565762,0.7328392412816807
MLP,OSULeaf,mean,15,85,0.9449999928474426,0.3427159432746025,0.6022840495728401,0.30726256983240224,0.6377374230150403
MLP,OSULeaf,mean,15,80,0.9449999928474426,0.43014157973174366,0.514858413115699,0.3859910581222057,0.5590089347252369
MLP,OSULeaf,mean,15,75,0.9449999928474426,0.49050632911392406,0.45449366373351857,0.4460359760159893,0.4989640168314533
MLP,OSULeaf,mean,15,70,0.9449999928474426,0.5181159420289855,0.42688405081845715,0.47432262129804664,0.470677371549396
MLP,OSULeaf,mean,15,65,0.9449999928474426,0.5306122448979592,0.4143877479494834,0.4862666871259782,0.4587333057214644
MLP,OSULeaf,mean,15,60,0.9449999928474426,0.5336179295624333,0.41138206328500937,0.4890989480103674,0.4559010448370752
MLP,OSULeaf,mean,15,55,0.9449999928474426,0.5362340812613705,0.4087659115860721,0.49151000606428136,0.45348998678316127
MLP,OSULeaf,mean,15,50,0.9449999928474426,0.5373563218390804,0.4076436710083622,0.4927404718693285,0.4522595209781141
MLP,OSULeaf,zero,15,95,0.9449999928474426,0.08078457446808511,0.8642154183793576,0.1293218085106383,0.8156781843368044
MLP,OSULeaf,zero,15,90,0.9449999928474426,0.20433194154488518,0.7406680513025574,0.212160751565762,0.7328392412816807
MLP,OSULeaf,zero,15,85,0.9449999928474426,0.3427159432746025,0.6022840495728401,0.30726256983240224,0.6377374230150403
MLP,OSULeaf,zero,15,80,0.9449999928474426,0.43014157973174366,0.514858413115699,0.3859910581222057,0.5590089347252369
MLP,OSULeaf,zero,15,75,0.9449999928474426,0.49050632911392406,0.45449366373351857,0.4460359760159893,0.4989640168314533
MLP,OSULeaf,zero,15,70,0.9449999928474426,0.5181159420289855,0.42688405081845715,0.47432262129804664,0.470677371549396
MLP,OSULeaf,zero,15,65,0.9449999928474426,0.5306122448979592,0.4143877479494834,0.4862666871259782,0.4587333057214644
MLP,OSULeaf,zero,15,60,0.9449999928474426,0.5336179295624333,0.41138206328500937,0.4890989480103674,0.4559010448370752
MLP,OSULeaf,zero,15,55,0.9449999928474426,0.5362340812613705,0.4087659115860721,0.49151000606428136,0.45348998678316127
MLP,OSULeaf,zero,15,50,0.9449999928474426,0.5373563218390804,0.4076436710083622,0.4927404718693285,0.4522595209781141
MLP,OSULeaf,mean,20,95,0.9449999928474426,0.10678442392613409,0.8382155689213086,0.16258530710558008,0.7824146857418626
MLP,OSULeaf,mean,20,90,0.9449999928474426,0.25440251572327044,0.6905974771241722,0.24276729559748428,0.7022326972499584
MLP,OSULeaf,mean,20,85,0.9449999928474426,0.37735849056603776,0.5676415022814049,0.32861635220125784,0.6163836406461848
